cntry,1995_car,1996_car,1997_car,1998_car,1999_car,2000_car,2001_car,2002_car,2003_car,2004_car,2005_car,2006_car,2007_car,2008_car,Average_car,Minimum_car,Maximum_car,2005_alc,2008_alc,Average_alc,Minimum_alc,Maximum_alc,1995_fert,1996_fert,1997_fert,1998_fert,1999_fert,2000_fert,2001_fert,2002_fert,2003_fert,2004_fert,2005_fert,2006_fert,2007_fert,2008_fert,Average_fert,Minimum_fert,Maximum_fert,2002_tbc,2005_tbc,Average_tbc,Minimum_tbc,Maximum_tbc,1995_gdp,1996_gdp,1997_gdp,1998_gdp,1999_gdp,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,Average_gdp,Minimum_gdp,Maximum_gdp
Jordan,,,,,,,,,,,,,27.84,,27.84,27.84,27.84,0.71,0.65,0.6799999999999999,0.65,0.71,4.677,4.531000000000001,4.395,4.269,4.155,4.053,3.966,3.8930000000000002,3.832,3.78,3.734,3.6889999999999996,3.641,3.5860000000000003,4.0143571428571425,3.5860000000000003,4.677,36.5,36.5,36.5,36.5,36.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kenya,,,,,,,,,,,,,18.7892,,18.7892,18.7892,18.7892,4.14,3.88,4.01,3.88,4.14,5.251,5.165,5.102,5.059,5.03,5.012,5.001,4.99,4.976,4.955,4.923,4.879,4.824,4.761,4.994857142857143,4.761,5.251,14.7,14.7,14.7,14.7,14.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kyrgyzstan,,,,,,4.46,4.478,7.468999999999999,7.817,7.901,7.297999999999999,4.63,9.618,10.702,7.152555555555556,4.46,10.702,5.09,4.72,4.904999999999999,4.72,5.09,3.304,3.1710000000000003,3.037,2.904,2.78,2.674,2.594,2.544,2.526,2.5380000000000003,2.5789999999999997,2.6460000000000004,2.728,2.815,2.774285714285714,2.526,3.304,24.7,24.7,24.7,24.7,24.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0
Latvia,,9.649,11.347999999999999,15.555,13.607000000000001,13.033,12.405999999999999,12.765,11.647,11.069,10.238,8.135,10.011000000000001,8.275,11.364461538461539,8.135,15.555,12.5,13.45,12.975,12.5,13.45,1.357,1.275,1.216,1.18,1.168,1.178,1.207,1.247,1.294,1.3419999999999999,1.3880000000000001,1.43,1.4669999999999999,1.501,1.3035714285714286,1.168,1.501,39.4,39.4,39.4,39.4,39.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
Lithuania,,,,11.738,11.505999999999998,9.423,10.716,11.238,11.65,11.005,12.663,13.661,13.209000000000001,8.09,11.354454545454546,8.09,13.661,15.03,16.3,15.665,15.03,16.3,1.64,1.57,1.5019999999999998,1.439,1.383,1.338,1.308,1.2930000000000001,1.2919999999999998,1.3030000000000002,1.325,1.354,1.386,1.4169999999999998,1.3964285714285711,1.2919999999999998,1.64,33.0,33.0,33.0,33.0,33.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0
Luxembourg,,,,11.609000000000002,11.345999999999998,14.807,15.204,12.482999999999999,8.017999999999999,7.635,8.638,5.971,,,10.634555555555558,5.971,15.204,13.01,12.84,12.925,12.84,13.01,1.7109999999999999,1.72,1.7209999999999999,1.716,1.7069999999999999,1.695,1.68,1.665,1.65,1.6380000000000001,1.629,1.624,1.6230000000000002,1.626,1.6717857142857147,1.6230000000000002,1.7209999999999999,34.7,34.7,34.7,34.7,34.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Malawi,,,,,,,,,,,,,11.88,,11.88,11.88,11.88,1.74,1.44,1.5899999999999999,1.44,1.74,6.483,6.446000000000001,6.4110000000000005,6.369,6.317,6.254,6.186,6.119,6.058,6.002000000000001,5.95,5.899,5.843,5.781000000000001,6.151285714285715,5.781000000000001,6.483,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Malaysia,,,,,,5.879,0.644,0.38299999999999995,1.724,9.863,10.555,9.539,6.1279,,5.5893625,0.38299999999999995,10.555,0.82,0.87,0.845,0.82,0.87,3.339,3.275,3.19,3.085,2.9610000000000003,2.825,2.6830000000000003,2.544,2.418,2.307,2.2159999999999997,2.146,2.093,2.052,2.652428571428571,2.052,3.339,28.8,28.8,28.8,28.8,28.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Malta,2.886,2.296,2.234,1.706,1.389,2.51,2.296,1.4340000000000002,0.956,1.449,2.695,1.463,1.5230000000000001,2.228,1.9332142857142858,0.956,2.886,4.27,4.1,4.185,4.1,4.27,1.93,1.881,1.819,1.7480000000000002,1.671,1.5930000000000002,1.521,1.4609999999999999,1.4169999999999998,1.3880000000000001,1.375,1.3730000000000002,1.375,1.3769999999999998,1.566357142857143,1.3730000000000002,1.93,28.7,28.7,28.7,28.7,28.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Mauritius,,,,,,0.113,0.11900000000000001,,,,,,2.9881525,,1.0733841666666668,0.113,2.9881525,3.72,3.53,3.625,3.53,3.72,2.144,2.105,2.0709999999999997,2.042,2.0180000000000002,1.994,1.965,1.9269999999999998,1.8769999999999998,1.818,1.7530000000000001,1.6869999999999998,1.6280000000000001,1.579,1.9005714285714286,1.579,2.144,18.5,18.5,18.5,18.5,18.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Mexico,,,,8.52,8.658,8.681000000000001,8.065,8.84,8.675,8.818999999999999,9.253,9.669,9.468,,8.864799999999999,8.065,9.669,8.42,8.55,8.485,8.42,8.55,2.966,2.8960000000000004,2.8310000000000004,2.77,2.7119999999999997,2.659,2.61,2.565,2.523,2.484,2.448,2.4130000000000003,2.379,2.346,2.6144285714285718,2.346,2.966,24.7,24.7,24.7,24.7,24.7,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Moldova,,3.7710000000000004,3.931,4.287,4.361000000000001,2.616,2.572,3.312,3.3789999999999996,3.821,5.006,3.255,4.512,5.529,3.8732307692307697,2.572,5.529,18.22,23.01,20.615000000000002,18.22,23.01,1.882,1.801,1.73,1.6669999999999998,1.6130000000000002,1.568,1.535,1.511,1.4969999999999999,1.489,1.4869999999999999,1.4869999999999999,1.4880000000000002,1.4869999999999999,1.5887142857142853,1.4869999999999999,1.882,26.0,26.0,26.0,26.0,26.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Mongolia,,,,,,,,,,,,,13.8237,,13.8237,13.8237,13.8237,3.24,3.41,3.325,3.24,3.41,2.738,2.57,2.43,2.312,2.2159999999999997,2.144,2.102,2.089,2.103,2.141,2.193,2.254,2.315,2.3680000000000003,2.2839285714285715,2.089,2.738,26.3,26.3,26.3,26.3,26.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Morocco,,,,,,,,,,,,,15.253779999999999,,15.253779999999999,15.253779999999999,15.253779999999999,1.46,1.24,1.35,1.24,1.46,3.31,3.167,3.033,2.909,2.7969999999999997,2.698,2.611,2.535,2.47,2.418,2.385,2.377,2.398,2.443,2.6822142857142857,2.377,3.31,15.0,15.0,15.0,15.0,15.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Mozambique,,,,,,,,,,,,,13.717,,13.717,13.717,13.717,2.38,2.27,2.325,2.27,2.38,5.976,5.925,5.88,5.84,5.808,5.782,5.76,5.7410000000000005,5.721,5.697,5.669,5.632000000000001,5.587999999999999,5.5360000000000005,5.753928571428572,5.5360000000000005,5.976,12.8,12.8,12.8,12.8,12.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Netherlands,,4.173,3.858,3.715,3.946,3.878,3.471,3.5980000000000003,3.65,2.842,2.292,2.22,2.262,2.237,3.241692307692308,2.22,4.173,10.05,9.75,9.9,9.75,10.05,1.53,1.53,1.56,1.63,1.65,1.72,1.71,1.73,1.75,1.73,1.7080000000000002,1.72,1.7180000000000002,1.7730000000000001,1.6756428571428568,1.53,1.7730000000000001,34.3,34.3,34.3,34.3,34.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
New Zealand,,,11.408,10.495,11.073,9.761000000000001,9.417,8.655,9.762,9.157,8.433,6.891,7.6,,9.332,6.891,11.408,9.62,9.99,9.805,9.62,9.99,2.11318,2.06628,2.05154,1.9550599999999998,2.00464,1.97918,1.96176,1.954,1.9809999999999999,2.015,2.052,2.085,2.11,2.123,2.03226,1.954,2.123,28.6,28.6,28.6,28.6,28.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Norway,,4.3260000000000005,4.793,5.456,4.939,5.261,4.312,4.942,4.41,4.105,3.57,3.2260000000000004,3.125,,4.372083333333334,3.125,5.456,7.81,8.35,8.08,7.81,8.35,1.87,1.89,1.86,1.81,1.85,1.85,1.78,1.75,1.8,1.83,1.84,1.9,1.9,1.96,1.849285714285714,1.75,1.96,32.0,32.0,32.0,32.0,32.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Paraguay,,2.7230000000000003,3.89,4.82,6.067,5.574,4.74,3.13,3.3489999999999998,2.5639999999999996,2.682,3.247,,,3.8896363636363636,2.5639999999999996,6.067,7.88,7.91,7.895,7.88,7.91,4.09,4.005,3.9210000000000003,3.839,3.758,3.677,3.595,3.512,3.429,3.346,3.266,3.1910000000000003,3.123,3.063,3.5582142857142856,3.063,4.09,24.0,24.0,24.0,24.0,24.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Philippines,,,,,3.759,3.582,2.804,2.824,2.5069999999999997,,,,,,3.0951999999999997,2.5069999999999997,3.759,6.38,6.08,6.23,6.08,6.38,4.006,3.9619999999999997,3.923,3.888,3.852,3.813,3.766,3.7089999999999996,3.642,3.5660000000000003,3.485,3.403,3.326,3.2569999999999997,3.6855714285714285,3.2569999999999997,4.006,26.0,26.0,26.0,26.0,26.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Poland,,,,,8.839,8.276,7.597,7.8660000000000005,7.48,7.097,7.204,6.825,7.519,7.675,7.637800000000001,6.825,8.839,13.25,14.43,13.84,13.25,14.43,1.68,1.598,1.5190000000000001,1.4480000000000002,1.386,1.3359999999999999,1.3,1.278,1.268,1.268,1.278,1.294,1.3130000000000002,1.334,1.3785714285714286,1.268,1.68,35.6,35.6,35.6,35.6,35.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0
Portugal,,,,2.957,2.43,5.625,,3.49,4.609,,,,5.0778,,4.031466666666666,2.43,5.625,14.55,13.89,14.22,13.89,14.55,1.483,1.479,1.4769999999999999,1.474,1.472,1.4680000000000002,1.4609999999999999,1.452,1.44,1.425,1.409,1.391,1.374,1.358,1.4402142857142854,1.358,1.483,35.8,35.8,35.8,35.8,35.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Romania,,,,,,,,,,,,,8.80789659,,8.80789659,8.80789659,8.80789659,15.3,16.15,15.725,15.3,16.15,1.354,1.318,1.298,1.285,1.278,1.274,1.272,1.274,1.2790000000000001,1.288,1.2990000000000002,1.311,1.325,1.34,1.299642857142857,1.272,1.354,32.6,32.6,32.6,32.6,32.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Russia,,,,,,,,,,,,,14.384,,14.384,14.384,14.384,15.76,16.23,15.995000000000001,15.76,16.23,1.338,1.271,1.219,1.2329999999999999,1.158,1.196,1.224,1.287,1.3330000000000002,1.341,1.288,1.296,1.406,1.494,1.2917142857142856,1.158,1.494,48.5,48.5,48.5,48.5,48.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Saint Lucia,,,,,,,,,,,,,,15.8954,15.8954,15.8954,15.8954,11.85,12.05,11.95,11.85,12.05,2.873,2.76,2.6439999999999997,2.528,2.416,2.313,2.224,2.1519999999999997,2.0980000000000003,2.062,2.04,2.029,2.022,2.013,2.298142857142857,2.013,2.873,20.6,20.6,20.6,20.6,20.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Senegal,,,,,,,,,,,,,24.7487,,24.7487,24.7487,24.7487,0.6,0.51,0.5549999999999999,0.51,0.6,6.053999999999999,5.943,5.837000000000001,5.737,5.645,5.561,5.484,5.412999999999999,5.346,5.285,5.229,5.181,5.14,5.107,5.497285714285714,5.107,6.053999999999999,10.7,10.7,10.7,10.7,10.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Serbia,,,,,,,,,,,,,5.984885907000001,,5.984885907000001,5.984885907000001,5.984885907000001,11.09,12.21,11.65,11.09,12.21,1.8459999999999999,1.8030000000000002,1.761,1.7209999999999999,1.681,1.642,1.604,1.568,1.534,1.501,1.472,1.446,1.4240000000000002,1.406,1.6006428571428573,1.406,1.8459999999999999,42.3,42.3,42.3,42.3,42.3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Seychelles,,,,,,,,,,,,,11.7,,11.7,11.7,11.7,10.59,12.11,11.35,10.59,12.11,2.345,2.275,2.219,2.1790000000000003,2.157,2.1519999999999997,2.162,2.1830000000000003,2.209,2.2359999999999998,2.259,2.276,2.2840000000000003,2.2840000000000003,2.23,2.1519999999999997,2.345,21.2,21.2,21.2,21.2,21.2,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0
Slovenia,12.24,12.905999999999999,9.997,8.354,8.508,7.584,8.033,7.687,6.779,7.9239999999999995,7.086,7.212999999999999,8.638,5.315,8.44742857142857,5.315,12.905999999999999,15.19,14.94,15.065,14.94,15.19,1.286,1.265,1.247,1.232,1.22,1.214,1.217,1.23,1.253,1.285,1.3230000000000002,1.3630000000000002,1.401,1.4340000000000002,1.2835714285714288,1.214,1.4340000000000002,26.5,26.5,26.5,26.5,26.5,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0
South Africa,,24.518,6.165,8.23,6.021,4.676,3.7960000000000003,2.386,5.016,4.235,5.409,7.0,8.907,,7.196583333333333,2.386,24.518,9.46,10.16,9.81,9.46,10.16,3.11,3.04,2.983,2.937,2.8989999999999996,2.866,2.8339999999999996,2.801,2.763,2.721,2.675,2.627,2.58,2.5380000000000003,2.8124285714285713,2.5380000000000003,3.11,18.4,18.4,18.4,18.4,18.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Spain,,,10.06,10.757,10.331,10.151,9.168,8.818,8.823,7.466,6.603,5.146,,,8.732299999999999,5.146,10.757,11.62,11.83,11.725,11.62,11.83,1.213,1.2,1.195,1.197,1.207,1.224,1.246,1.271,1.298,1.325,1.35,1.375,1.3969999999999998,1.419,1.279785714285714,1.195,1.419,33.7,33.7,33.7,33.7,33.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Swaziland,,,,,,,,,,,,,20.15,,20.15,20.15,20.15,5.7,5.05,5.375,5.05,5.7,4.8660000000000005,4.709,4.564,4.4319999999999995,4.313,4.209,4.121,4.046,3.9819999999999998,3.925,3.8710000000000004,3.818,3.761,3.699,4.1654285714285715,3.699,4.8660000000000005,8.9,8.9,8.9,8.9,8.9,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Sweden,,3.9760000000000004,3.6039999999999996,3.486,3.949,4.262,4.2860000000000005,4.127,3.8810000000000002,3.091,3.1839999999999997,3.0989999999999998,2.737,,3.640166666666666,2.737,4.2860000000000005,10.1,9.5,9.8,9.5,10.1,1.7309999999999999,1.6,1.528,1.517,1.5119999999999998,1.5590000000000002,1.58,1.665,1.7309999999999999,1.771,1.787,1.869,1.892,1.9169999999999998,1.6899285714285714,1.5119999999999998,1.9169999999999998,22.0,22.0,22.0,22.0,22.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Switzerland,,,,,,,,,,,,2.34153648,,,2.34153648,2.34153648,2.34153648,11.06,11.41,11.235,11.06,11.41,1.515,1.5019999999999998,1.4869999999999999,1.47,1.453,1.4369999999999998,1.425,1.4180000000000001,1.416,1.42,1.429,1.442,1.4569999999999999,1.472,1.4530714285714286,1.416,1.515,26.5,26.5,26.5,26.5,26.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Tanzania,,,,,,,,,,,,,16.5456,,16.5456,16.5456,16.5456,6.75,7.86,7.305,6.75,7.86,5.882999999999999,5.827999999999999,5.78,5.7410000000000005,5.711,5.689,5.675,5.666,5.659,5.651,5.638,5.6160000000000005,5.585,5.542999999999999,5.690357142857143,5.542999999999999,5.882999999999999,14.6,14.6,14.6,14.6,14.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Thailand,26.828000000000003,25.746,17.12,8.041,16.304000000000002,13.577,,9.383,,,,7.98,2.101,,14.12,2.101,26.828000000000003,7.08,7.08,7.08,7.08,7.08,1.867,1.824,1.784,1.745,1.709,1.676,1.6440000000000001,1.615,1.588,1.5630000000000002,1.5390000000000001,1.517,1.496,1.4769999999999999,1.6460000000000001,1.4769999999999999,1.867,21.7,21.7,21.7,21.7,21.7,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Tonga,,,,,,,,,,,,,3.85,,3.85,3.85,3.85,3.78,3.92,3.8499999999999996,3.78,3.92,4.447,4.391,4.34,4.3,4.27,4.25,4.236000000000001,4.221,4.202,4.177,4.144,4.104,4.059,4.012,4.225214285714285,4.012,4.447,39.0,39.0,39.0,39.0,39.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trinidad and Tobago,,,,,7.461,6.48,9.633,7.511,,,,,9.4468,,8.10636,6.48,9.633,6.28,6.16,6.220000000000001,6.16,6.28,1.9609999999999999,1.896,1.8430000000000002,1.801,1.7719999999999998,1.7530000000000001,1.744,1.744,1.749,1.758,1.7690000000000001,1.7790000000000001,1.788,1.796,1.796642857142857,1.744,1.9609999999999999,22.1,22.1,22.1,22.1,22.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0
Tunisia,,,,,,,,,,,,,19.2926,,19.2926,19.2926,19.2926,1.29,1.05,1.17,1.05,1.29,2.676,2.524,2.3890000000000002,2.275,2.1830000000000003,2.114,2.068,2.041,2.0269999999999997,2.023,2.025,2.031,2.0380000000000003,2.044,2.1755714285714287,2.023,2.676,26.6,26.6,26.6,26.6,26.6,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
Turkey,,,,,,,,,,,,7.189345032,,,7.189345032,7.189345032,7.189345032,2.87,3.02,2.9450000000000003,2.87,3.02,2.715,2.661,2.609,2.557,2.506,2.454,2.404,2.356,2.311,2.27,2.234,2.202,2.173,2.147,2.399928571428571,2.147,2.715,35.5,35.5,35.5,35.5,35.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Uganda,,,,,,,,,,,,,13.687999999999999,,13.687999999999999,13.687999999999999,13.687999999999999,11.93,16.4,14.165,11.93,16.4,7.018,6.994,6.9670000000000005,6.937,6.903,6.865,6.822,6.772,6.716,6.653,6.582999999999999,6.507000000000001,6.425,6.337999999999999,6.75,6.337999999999999,7.018,12.1,12.1,12.1,12.1,12.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
United Arab Emirates,,,,,,,,,,,,,31.85,,31.85,31.85,31.85,0.54,0.52,0.53,0.52,0.54,3.3930000000000002,3.215,3.052,2.9019999999999997,2.766,2.6439999999999997,2.532,2.428,2.329,2.2359999999999998,2.149,2.0709999999999997,2.004,1.9480000000000002,2.5477857142857148,1.9480000000000002,3.3930000000000002,14.4,14.4,14.4,14.4,14.4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
United Kingdom,,,,3.452,3.3930000000000002,,3.175,3.455,3.5639999999999996,3.285,3.3480000000000003,3.2569999999999997,3.377,,3.367333333333333,3.175,3.5639999999999996,13.37,13.24,13.305,13.24,13.37,1.756,1.743,1.7280000000000002,1.71,1.6909999999999998,1.675,1.669,1.6740000000000002,1.693,1.723,1.7619999999999998,1.8030000000000002,1.841,1.871,1.7385000000000002,1.669,1.871,35.7,35.7,35.7,35.7,35.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
United States,,,12.725999999999999,12.504000000000001,10.972000000000001,10.912,10.752,11.154000000000002,10.615,10.285,9.949,9.5228,,,10.93918,9.5228,12.725999999999999,9.44,9.7,9.57,9.44,9.7,1.982,1.98,1.974,2.003,2.009,2.0540000000000003,2.031,2.024,2.053,2.0580000000000003,2.061,2.112,2.122,2.074,2.038357142857143,1.974,2.122,23.9,23.9,23.9,23.9,23.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Uruguay,,,4.9719999999999995,7.452000000000001,5.062,3.217,2.6860000000000004,,,2.5660000000000003,,,,,4.325833333333333,2.5660000000000003,7.452000000000001,8.14,8.99,8.565000000000001,8.14,8.99,2.398,2.362,2.327,2.295,2.267,2.2430000000000003,2.2230000000000003,2.205,2.188,2.171,2.155,2.138,2.122,2.1069999999999998,2.2286428571428574,2.1069999999999998,2.398,32.6,32.6,32.6,32.6,32.6,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Uzbekistan,,,,,,,,,,6.297000000000001,6.417999999999999,,,,6.3575,6.297000000000001,6.417999999999999,3.54,3.61,3.575,3.54,3.61,3.463,3.298,3.137,2.988,2.855,2.742,2.654,2.588,2.542,2.512,2.4930000000000003,2.4819999999999998,2.471,2.457,2.7629999999999995,2.457,3.463,12.8,12.8,12.8,12.8,12.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0
Venezuela,,4.8180000000000005,6.291,8.218,7.394,7.946000000000001,8.083,7.984,6.485,6.849,6.82,,7.332000000000001,,7.11090909090909,4.8180000000000005,8.218,8.23,7.6,7.915,7.6,8.23,3.082,3.022,2.967,2.915,2.867,2.822,2.779,2.739,2.701,2.6639999999999997,2.6289999999999996,2.595,2.562,2.531,2.776785714285714,2.531,3.082,29.8,29.8,29.8,29.8,29.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Zambia,,,,,,,,,,,,,11.2572,,11.2572,11.2572,11.2572,3.85,3.56,3.705,3.56,3.85,6.209,6.178999999999999,6.152,6.126,6.098,6.071000000000001,6.044,6.018,5.995,5.974,5.954,5.932,5.9079999999999995,5.881,6.0386428571428565,5.881,6.209,13.4,13.4,13.4,13.4,13.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Zimbabwe,,,,,,,,,,,,20.8496,,,20.8496,20.8496,20.8496,5.08,4.96,5.02,4.96,5.08,4.4319999999999995,4.328,4.24,4.169,4.112,4.069,4.039,4.018,4.002,3.987,3.969,3.9410000000000003,3.903,3.853,4.075857142857143,3.853,4.4319999999999995,15.0,15.0,15.0,15.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
